#Título,Descripción
El presupuesto municipal,"El presupuesto de un Ayuntamiento es un documento que se aprueba por el Pleno y especifica los gastos que como máximo se realizarán durante el ejercicio y los ingresos que se prevén obtener durante el mismo periodo. Todas las entidades locales están obligadas a aprobar su presupuesto del año en el último trimestre del año anterior. De esta manera el 1 de enero de cada año tienen que tener su presupuesto aprobado. No obstante, si al comenzar el año no hubieran aprobado el presupuesto, la normativa establece que se prorroga automáticamente el del ejercicio anterior."
Cómo se clasifica el presupuesto de gasto,"Los gastos del presupuesto se clasifican de acuerdo a tres clasificaciones diferentes:<ul><li>Orgánica: que informa de quien realiza el gasto.</li><li>Por programas, que informa sobre en qué se gasta, es decir, la finalidad del gasto.</li><li>Económica, que informa sobre cómo se gasta, sobre la naturaleza económica del gasto.</li></ul>"
Clasificación orgánica del presupuesto de gasto,"La clasificación orgánica del presupuesto de gastos informa de qué unidad orgánica del Ayuntamiento gestiona el gasto, es decir, qué área o servicio es el responsable de la ejecución del mismo. Esta clasificación es opcional."
Clasificación económica del presupuesto de gasto,"La clasificación económica del presupuesto de gasto informa de cómo se gasta. Los créditos del presupuesto de gasto se ordenan según su naturaleza económica, distinguiendo entre los créditos destinados a operaciones corrientes, como los gastos necesarios para el funcionamiento de los servicios públicos (gastos de personal y bienes y servicios), los créditos destinados a operaciones de capital (como los gastos en inversiones reales) y los créditos destinados a operaciones de carácter financiero (como las amortizaciones de los préstamos que han recibido las entidades locales)."
Clasificación por programas del presupuesto de gasto,La clasificación por programas del presupuesto de gasto informa sobre la finalidad y los objetivos que se pretenden conseguir con los créditos: para qué se gasta.
Cómo se clasifica el presupuesto de ingresos,"El presupuesto de ingresos se puede clasificar de acuerdo con la siguiente clasificación:<ul><li>Clasificación económica, que presenta la información según la naturaleza económica de los derechos presupuestarios.</li><li>Clasificación orgánica, que informa sobre quien ingresa. Las entidades locales pueden clasificar los ingresos atendiendo a su propia estructura. Es una posibilidad que tienen las entidades locales y, por tanto, una clasificación de carácter opcional.</li></ul>"
Impuesto sobre bienes inmuebles,"El IBI es un impuesto municipal, directo, real, objetivo, periódico y obligatorio, que grava el valor de los bienes inmuebles. Están obligados a pagar este impuesto los propietarios, usufructuarios o concesionarios de cualquier bien inmueble o propiedad (piso, plaza de garaje, trastero, tienda, casa, despacho, etc…). En caso de transmisión, el nuevo propietario ha de pagar el impuesto a partir del año siguiente. La gestión de este impuesto la comparte el municipio y la Administración tributaria del Estado."
Impuesto de actividades económicas,"El IAE es un impuesto directo, real y obligatorio, que grava la realización de cualquier tipo de actividad económica, tanto si es ejercida por una persona física como jurídica. Tienen que pagar este impuesto las empresas o entidades que han obtenido una cifra neta de negocio igual o superior al millón de euros durante el penúltimo ejercicio. La gestión de este impuesto la comparte el municipio y la Administración tributaria del Estado."
Impuesto de vehículos de tracción mecánica,"El impuesto de vehículos de tracción mecánica (IVTM) es un tributo directo que grava la titularidad de los vehículos aptos para circular por vías públicas. Tiene que pagar anualmente este impuesto los propietarios de vehículos dados de alta. La gestión de este impuesto es íntegramente municipal."
"Impuesto sobre construcciones, instalaciones y obras","El ICIO es un tributo municipal que un Ayuntamiento puede exigir si previamente lo ha aprobado en la Ordenanza fiscal correspondiente. El ICIO se tiene que pagar por la realización dentro del término municipal de cualquier construcción, instalación u obra para la cual se requiera obtener una licencia urbanística o presentar una declaración responsable o una comunicación previa. La gestión de este impuesto es íntegramente municipal."
