#Izenburua,Deskribapena
Udal-aurrekontua,"Udalaren aurrekontua Osoko Bilkurak onartutako dokumentua da, ekitaldian gehienez egingo diren gastuak eta aldi horretan eskuratzea aurreikusitako diru-sarrerak zehazten dituena. Toki-erakunde guztiek urteko aurrekontua nahitaez onartu behar dute aurreko urteko azken hiruhilekoan. Era horretan urte bakoitzeko urtarrilaren 1ean onartuta eduki behar dute aurrekontua. Nolanahi ere, urtearen hasieran aurrekontua onartu gabe badute, araudiak dio automatikoki luzatzen dela aurreko ekitaldikoa."
Gastu-aurrekontua nola sailkatzen den,"Aurrekontuko gastuak hiru sailkapen hauen arabera sailkatzen dira: <ul><li>Organikoa: gastua nork egiten duen jakinarazten du. </li><li> Programen arabera, zertan gastatzen den jakinarazten du, hau da, gastuaren helburua. </li><li>Ekonomikoa, nola gastatzen den jakinarazten du, gastuaren izaera ekonomikoa, alegia.</li></ul>"
Gastu-aurrekontuaren sailkapen organikoa,"Gastu-aurrekontuaren sailkapen organikoak gastua udalaren zer unitate organikok kudeatzen duen jakinarazten du, hau da, zer arlo edo zerbitzu den hura gauzatzearen arduraduna. Sailkapen hori aukerakoa da."
Gastu-aurrekontuaren sailkapen ekonomikoa,"Gastu-aurrekontuaren sailkapen ekonomikoak nola gastatzen den jakinarazten du. Gastu-aurrekontuko kredituak izaera ekonomikoaren arabera antolatzen dira, eta honako kreditu hauek bereizten dira: eragiketa arruntetarako kredituak –zerbitzu publikoen jarduerarako behar diren gastuak adibidez (langileen eta ondasun eta zerbitzuen gastuak)–, kapital-eragiketetarako kredituak (inbertsio errealetako gastuak, esaterako) eta izaera finantzarioko eragiketetarako kredituak (toki-erakundeek jaso dituzten maileguen amortizazioak, adibidez)."
Gastu-aurrekontuaren programen araberako sailkapena,"Gastu-aurrekontuaren programen araberako sailkapenak kredituekin lortu nahi diren helburuak eta xedea jakinarazten ditu: zertarako gastatzen den."
Diru-sarreren aurrekontua nola sailkatzen den,"Diru-sarreren aurrekontua honako sailkapen honen arabera sailka daiteke:<ul><li>Sailkapen ekonomikoa, aurrekontuko eskubideen izaera ekonomikoaren araberako informazioa aurkezten duena.</li><li>Sailkapen organikoa, diru-sarrera nork egiten duen jakinarazten duena. Toki-erakundeek diru-sarrerak duten egituraren arabera sailka ditzakete. Toki-erakundeek eskura duten aukera bat da eta, ondorioz, aukerako sailkapena da.</li></ul>"
Ondasun higiezinen gaineko zerga,"OHZ udal-zerga bat da, zuzena, erreala, objektiboa, aldizkakoa eta nahitaezkoa, eta ondasun higiezinen balioa kargatzen du. Ondasun higiezin edo jabetza ororen jabeek, gozamendunek edo emakidadunek ordaindu behar dute zerga hori (etxebizitza, garaje-plaza, trastelekua, denda, etxea, bulegoa, etab.). Zerga horren kudeaketa batera egiten dute udalerriak eta Estatuko Zerga Administrazioak."
Ekonomia-jardueren gaineko zerga,"EJZ zerga zuzena, erreala eta nahitaezkoa da, eta era guztietako ekonomia-jarduerak egitea kargatzen du, pertsona fisiko batek edo juridiko batek egin. Azkenaurreko ekitaldian gutxienez milioi bat euroko negozio-zifra garbia eskuratu duten enpresek edo erakundeek ordaindu behar dute zerga hori. Zerga horren kudeaketa batera egiten dute udalerriak eta Estatuko Zerga Administrazioak."
Trakzio mekanikoko ibilgailuen gaineko zerga,"Trakzio mekanikoko ibilgailuen gaineko zerga (TMIZ) tributu zuzena da, eta bide publikoetan zirkulatzeko gai diren ibilgailuen titularitatea kargatzen du. Alta emanda dauden ibilgailuen jabeek ordaindu behar dute urtero zerga hori. Udalak egiten du zergaren kudeaketa osoa."
"Eraikuntzen, instalazioen eta obren gaineko zerga","EIOZ udal-tributua da, dagokion ordenantza fiskalean aurretik onartu bada Udalek eska dezaketena. EIOZ ordaindu behar da udalerriaren barruan era guztietako eraikuntza, instalazio edo obra egiteagatik, baldin eta horretarako hirigintzako lizentzia eskuratu edo erantzukizunpeko adierazpena edo aurretiko jakinarazpena aurkeztu beharra badago. Udalak egiten du zergaren kudeaketa osoa."
